"","TeamID","Season","total_games","FGM","FGA","OppFGM","OppFGA","FGM3","FGA3","OppFGM3","OppFGA3","FTM","FTA","OppFTM","OppFTA","meanDiffPoints","sdDiffPoints","TeamName"
"1",1101,2021,23,625,1358,478,1181,187,496,117,402,318,462,347,502,11.5217391304348,11.6027800948244,"Abilene Chr"
"2",1104,2021,30,834,1937,753,1860,320,912,180,625,399,554,407,593,5.13333333333333,11.2915388931143,"Alabama"
"3",1111,2021,24,557,1375,611,1388,197,604,176,525,325,454,240,333,-0.958333333333333,12.3938244322715,"Appalachian St"
"4",1116,2021,28,825,1814,712,1716,220,649,210,645,437,593,345,503,11.3571428571429,17.5461598325025,"Arkansas"
"5",1124,2021,24,746,1513,575,1329,248,593,155,456,285,409,289,421,14.0833333333333,14.1633841039267,"Baylor"
"6",1140,2021,25,710,1486,621,1515,215,577,171,527,304,413,308,446,6.96,14.3453825323691,"BYU"
"7",1155,2021,23,541,1264,506,1208,192,555,165,490,228,298,249,357,2.1304347826087,13.3256565515416,"Clemson"
"8",1156,2021,26,684,1515,622,1469,166,520,192,624,324,484,399,547,1.88461538461538,15.1929639585617,"Cleveland St"
"9",1159,2021,15,472,945,388,950,136,338,92,352,215,294,161,238,14.8,12.0309125648413,"Colgate"
"10",1160,2021,30,774,1703,687,1640,224,610,190,571,419,510,334,460,8.63333333333333,12.6395202149594,"Colorado"
"11",1163,2021,22,581,1323,492,1200,148,440,125,396,286,391,313,443,6.86363636363636,10.864075594736,"Connecticut"
"12",1166,2021,28,797,1675,694,1709,272,742,214,666,289,450,310,439,6.60714285714286,13.3731053644973,"Creighton"
"13",1179,2021,27,791,1621,634,1477,186,508,163,530,290,408,325,439,10.3333333333333,13.490737563232,"Drake"
"14",1180,2021,19,495,1038,468,1061,138,371,117,365,230,296,217,289,3.52631578947368,9.10658138718386,"Drexel"
"15",1186,2021,22,608,1295,561,1338,184,513,150,474,315,394,269,370,6.36363636363636,10.9698524300768,"E Washington"
"16",1196,2021,23,605,1303,566,1343,157,440,145,474,334,441,329,468,3.60869565217391,15.0536589645622,"Florida"
"17",1199,2021,22,620,1307,514,1290,181,464,172,516,315,427,347,468,8.18181818181818,13.7655068010291,"Florida St"
"18",1207,2021,25,621,1463,645,1553,208,568,201,617,334,443,276,402,0.4,12.2848144742469,"Georgetown"
"19",1210,2021,25,695,1466,643,1402,189,542,178,485,309,425,286,405,5.08,10.1280139547034,"Georgia Tech"
"20",1211,2021,26,888,1612,665,1589,190,521,178,548,429,591,289,411,22.5384615384615,10.546016382429,"Gonzaga"
"21",1213,2021,20,517,1097,436,1120,128,397,131,439,263,380,230,330,9.75,13.4590020745264,"Grand Canyon"
"22",1216,2021,23,543,1251,543,1300,174,532,152,529,255,358,217,325,1.65217391304348,12.4521217456456,"Hartford"
"23",1222,2021,26,693,1581,502,1336,237,668,143,502,361,486,369,566,14.3846153846154,11.8863852304287,"Houston"
"24",1228,2021,29,851,1707,725,1760,197,524,190,581,462,669,368,537,11.9310344827586,15.3830403703066,"Illinois"
"25",1233,2021,17,423,951,363,910,127,358,104,345,255,343,291,421,4.94117647058824,13.5391588929819,"Iona"
"26",1234,2021,29,863,1840,772,1864,283,733,257,739,420,589,285,422,10.9310344827586,15.5997505348249,"Iowa"
"27",1242,2021,27,705,1613,645,1575,196,580,192,589,352,492,305,417,6.18518518518519,13.9808578944351,"Kansas"
"28",1251,2021,24,629,1304,540,1281,240,619,149,463,259,333,264,379,7.20833333333333,11.5419053760696,"Liberty"
"29",1260,2021,26,675,1357,547,1332,179,502,149,458,305,416,209,298,13.5384615384615,12.9714479353101,"Loyola-Chicago"
"30",1261,2021,27,784,1692,724,1729,220,628,230,766,429,574,356,504,7.14814814814815,14.1657868002281,"LSU"
"31",1268,2021,28,667,1480,654,1583,222,637,227,662,339,482,291,406,2.64285714285714,13.8649953205219,"Maryland"
"32",1276,2021,24,669,1383,572,1451,181,468,159,475,311,400,266,355,9.95833333333333,11.929062671974,"Michigan"
"33",1277,2021,27,668,1574,662,1559,172,537,167,530,356,494,414,579,-1.7037037037037,13.7946890973826,"Michigan St"
"34",1281,2021,25,646,1439,631,1463,173,540,158,483,376,539,378,532,1.12,11.9663416854665,"Missouri"
"35",1287,2021,28,679,1479,664,1634,177,510,208,677,372,545,256,377,5.21428571428571,14.9749349664256,"Morehead St"
"36",1291,2021,22,508,1192,504,1243,146,433,123,408,240,354,240,306,0.363636363636364,11.9385149213853,"Mt St Mary's"
"37",1313,2021,21,535,1245,481,1196,167,447,172,542,341,481,348,502,4.80952380952381,11.4176137945678,"Norfolk St"
"38",1314,2021,28,776,1761,704,1673,157,496,220,639,410,614,315,454,8.53571428571429,13.1585267183232,"North Carolina"
"39",1317,2021,25,627,1332,533,1323,185,496,143,453,266,362,305,420,5.96,14.839362070745,"North Texas"
"40",1325,2021,22,650,1335,571,1286,189,517,173,514,279,395,298,389,6.31818181818182,16.9210670710364,"Ohio"
"41",1326,2021,30,790,1719,742,1751,247,677,227,665,493,646,418,592,5.7,11.9774212871409,"Ohio St"
"42",1328,2021,25,670,1517,637,1512,200,591,204,576,329,442,253,344,5.68,12.9380575564237,"Oklahoma"
"43",1329,2021,28,775,1656,726,1761,179,529,209,659,429,602,380,537,5.25,9.04157066001256,"Oklahoma St"
"44",1331,2021,23,627,1403,643,1439,250,644,164,461,322,390,334,476,-1.91304347826087,12.2136772940617,"Oral Roberts"
"45",1332,2021,26,715,1514,631,1449,218,575,191,568,286,406,300,393,5.92307692307692,10.4457573279225,"Oregon"
"46",1333,2021,28,668,1570,670,1505,193,557,178,567,406,534,421,575,-0.678571428571429,11.7978452879818,"Oregon St"
"47",1345,2021,27,689,1527,630,1521,192,573,219,695,350,492,311,461,5.81481481481481,10.5649530816863,"Purdue"
"48",1353,2021,26,696,1544,627,1494,157,505,171,532,270,427,349,496,2.26923076923077,13.6925021593796,"Rutgers"
"49",1361,2021,26,668,1473,533,1358,218,582,203,617,363,505,325,444,11.8461538461538,12.1216906665442,"San Diego St"
"50",1364,2021,24,628,1333,556,1307,157,451,135,404,361,473,279,366,9.41666666666667,12.7208034565318,"UC Santa Barbara"
"51",1382,2021,20,521,1161,429,1104,131,370,146,477,237,323,203,312,10.9,11.0924345958477,"St Bonaventure"
"52",1393,2021,25,677,1535,634,1527,203,603,213,673,339,432,287,383,5.52,14.1719205943772,"Syracuse"
"53",1397,2021,26,661,1491,572,1436,173,512,174,547,390,523,326,446,9.30769230769231,17.225026515554,"Tennessee"
"54",1400,2021,26,684,1507,624,1512,225,631,163,505,363,513,378,555,4.03846153846154,10.897635593947,"Texas"
"55",1403,2021,27,686,1548,583,1419,168,484,192,547,432,608,354,517,10.5185185185185,14.569120057823,"Texas Tech"
"56",1411,2021,23,607,1363,557,1381,105,379,170,524,373,528,328,469,6.30434782608696,12.4770144396832,"TX Southern"
"57",1417,2021,26,686,1485,640,1459,173,471,200,569,349,484,301,409,5.38461538461539,11.0998267484747,"UCLA"
"58",1422,2021,29,803,1894,664,1605,221,736,215,675,308,451,413,584,5.96551724137931,9.43959275234103,"UNC Greensboro"
"59",1425,2021,29,788,1687,683,1735,183,526,209,612,409,632,313,430,10.551724137931,11.4629409305957,"USC"
"60",1429,2021,27,721,1624,592,1521,177,526,202,612,343,478,293,397,11.4074074074074,14.6320492787875,"Utah St"
"61",1433,2021,26,659,1460,590,1457,168,510,156,511,378,497,358,516,6.07692307692308,11.4992976374145,"VCU"
"62",1437,2021,22,581,1292,544,1219,203,576,175,495,297,388,214,314,7.13636363636364,10.5978230223878,"Villanova"
"63",1438,2021,24,608,1266,529,1272,204,535,161,473,227,278,232,313,6.375,13.5030189861057,"Virginia"
"64",1439,2021,21,534,1183,487,1164,173,485,151,458,274,393,251,359,5.57142857142857,13.9088871897482,"Virginia Tech"
"65",1452,2021,27,711,1660,716,1619,196,549,195,604,469,654,320,461,5.14814814814815,8.97733772298851,"West Virginia"
"66",1455,2021,19,454,1121,473,1148,159,461,135,438,299,428,235,341,1.36842105263158,6.76765613714551,"Wichita St"
"67",1457,2021,24,674,1463,574,1332,203,575,157,485,358,522,298,450,10.8333333333333,7.24518830833184,"Winthrop"
"68",1458,2021,29,711,1690,679,1606,248,689,181,549,349,455,326,458,3,14.121918121437,"Wisconsin"
